afo_application_number,ai_number,cnmp_received_date,deadline_to_request_hearing,deadline_to_submit_written_comments,farm_address,farm_county,farm_designation,farm_name,latest_cnmp_status_form_received_date,latitude,longitude,nmp_received_date,noi_received_date,number_of_animals,primary_animal_type,public_hearing_date,public_hearing_location,status,conservation_plan_received_date,afo_registered_date,afo_registration_number,coc_received_date
,137029,41002,,,"6454 Wheatley Rd, Federalsburg MD 21632",Dorchester,CAFO,"ALLEN HARIM FARMS, LLC/LUCY FARM",,38.641126,-75.742338,,40969,115800,Chickens-not laying hens-dry,,,Registered,,41123,2012-CCD-0603,
,137032,41002,,,"7024 Whiteley Rd, Federalsburg MD 21632",Dorchester,CAFO,"ALLEN HARIM FARMS, LLC/TODD FARM",,38.684101,-75.805175,,40969,82000,Chickens-not laying hens-dry,,,Registered,,41123,2012-CCD-0602,
,137027,41002,,,"5635 Davis Mill Pond Rd, Federalsburg MD 21632",Dorchester,MAFO,"ALLEN HARIM FOODS, LLC/DAVIS MILL FARM",,38.658135,-75.752833,,40969,50000,Chickens-not laying hens-dry,,,Registered,,41138,2012-MCD-0607,
,137030,41002,,,"6940 Reliance Rd, Federalsburg MD 21632",Dorchester,MAFO,"ALLEN HARIM FOODS, LLC/DOBSON FARM",,38.677038,-75.763407,,40969,75400,Chickens-not laying hens-dry,,,Registered,,41138,2012-MCD-0605,
,67227,40798,,,"3422 Sheephouse Rd, Pocomoke City MD 21851",Worcester,CAFO,ALVIN ALLEN/POOR BOY FARM,,38.044935,-75.508173,39874,39874,51000,Chickens-not laying hens-dry,,,Registered,,40907,2009-CCD-0191,
,132494,40599,,,"6585 Sixty Foot Rd, Pittsville MD 21850",Wicomico,CAFO,ANDREW JAMES HAGGERTY/SANDY HILL FARM,,38.371195,-75.426133,40479,40479,70000,Chickens-not laying hens-dry,,,Registered,,40905,2010-CCD-0431,
,66531,40939,,,"210 Shawn Rd, Centreville MD 21617",Queen Anne's,CAFO,ANDREW L. MCLEAN/RELIEF FARM,,39.037865,-75.928166,39870,39870,180000,Chickens-not laying hens-dry,,,Registered,,41058,2009-CCD-0135,
,67161,40904,,,"33361 Melson Rd, Delmar MD 21875",Wicomico,CAFO,ANDY TRAN/TRAN FARM & NINE GOLDEN CHICKS,,38.437123,-75.452241,39874,39874,240000,Chickens-not laying hens-dry,,,Registered,,40983,2009-CCD-0193,
,68131,40976,,,"23235 Capitola Rd, Tyaskin MD 21865",Wicomico,CAFO,"ANTHONY BALCERZAK, SR./WHITE HAVEN FARM",,38.288409,-75.810374,40448,39874,48000,Chickens-not laying hens-dry,,,Registered,,41214,2009-CCD-0195,
,138517,40976,,,"21322 Bivalve Lodge Rd, Bivalve MD 21814",Wicomico,CAFO,ANTHONY E. BALCERZAK JR./BIG BIVALVE,,38.302756,-75.876573,,41156,35000,Chickens-not laying hens-dry,,,Registered,,41212,2012-CCD-0625,
,66845,40463,,,"3640 Pepper Rd, Federalsburg MD 21632",Caroline,CAFO,ANTHONY MATURO FARM,,38.707253,-75.819563,40354,39874,51500,Chickens-not laying hens-dry,,,Registered,,40723,2009-CCD-0075,
,68716,40238,,,"31635 Mitchell Rd, Princess Anne MD 21853",Somerset,CAFO,ANTHONY RIZZI/RIZZI'S ROOST,,38.149389,-75.652754,39875,39875,81600,Chickens-not laying hens-dry,,,Registered,,41134,2009-CCD-0276,
,67955,40575,,,"26666 Cottman Rd, Eden MD 21822",Wicomico,CAFO,ARTHUR WIDDOWSON/PET PALACE,,38.282168,-75.693308,40176,39863,62800,Chickens-not laying hens-dry,,,Registered,,40939,2009-CCD-0089,
,67021,40359,,,"10435 Chapel Rd, Easton MD 21601",Talbot,CAFO,AUBREY STORM/FIRST FROST FARM,,38.833697,-76.003735,39863,39863,61000,Chickens-not laying hens-dry,,,Registered,,41040,2009-CCD-0090,
,68033,41624,,,"2633 Bunting Rd, Pocomoke City MD 21851",Worcester,CAFO,AYDELOTTE POULTRY LLC,,38.00913,-75.540313,,41331,165000,Chickens-not laying hens-dry,,,Registered,,41750,2013-CCD-0668,
,67852,40127,,,"6025 Eldorado Federalsburg Rd, Rhodesdale MD 21659",Dorchester,CAFO,"BARNES FAMILY FARMS, LLC",,38.607957,-75.775786,39874,39874,,,,,Registered,,41943,2009-CCD-0196,
,66765,,,,"5405 Wesley Rd, Hurlock MD 21643",Dorchester,CAFO,"BARNES FAMILY FARMS, LLC/WESLEY ROAD FARM",,38.618602,-75.781045,41887,40409,70000,Chickens-not laying hens-dry,,,Registered,,41941,2010-CCD-0686,
,132862,40529,,,"24073 E. Hurleys Neck Rd, Mardela Springs MD 21837",Wicomico,CAFO,BARRY DOUGLAS MALPASS/OVEREASY AND KATHY TOO FARMS,,38.415578,-75.778382,,40529,128500,Chickens-not laying hens-dry,,,Registered,,41087,2010-CCD-0445,
,129180,41226,,,"5941 Cokesbury Rd, Rhodesdale MD 21659",Dorchester,CAFO,BARRY SPEDDEN,,38.614811,-75.726718,,40112,204600,Chickens-not laying hens-dry,,,Registered,,41590,2009-CCD-0563,
,68938,40087,,,"6641 Whitesburg Rd, Snow Hill MD 21863",Worcester,CAFO,BARRY W. MILES/BYRDS OF A FEATHER FARM,,38.207057,-75.559931,40094,40094,58200,Chickens-not laying hens-dry,,,Registered,,40371,2009-CCD-0009,
,68934,40044,,,"12033 Petes Hill Rd, Princess Anne MD 21853",Somerset,CAFO,BARRY W. MILES/TWO CATS AND FIVE DOGS FARMS,,38.209878,-75.584525,,40094,166600,Chickens-not laying hens-dry,,,Registered,,40483,2009-CCD-0006,
,67047,41296,,,"7779 Holt Rd, Parsonsburg MD 21849",Wicomico,CAFO,BEAVER RUN FARM INC./QUINT RILEY FARM,,38.405027,-75.500899,41470,39868,42000,Chickens-not laying hens-dry,,,Registered,,41534,2009-CCD-0113,
,66638,40175,,,"1023 Colona Rd, Pocomoke City MD 21851",Worcester,CAFO,BEN LIM/EMANNUEL AND BEN'S FARM,,38.013675,-75.601539,39875,39875,120000,Chickens-not laying hens-dry,,,Registered,,40672,2009-CCD-0025,
,67925,41691,,,"9265 Amber Ln, Westover MD 21871",Somerset,CAFO,BEN NGUYEN,,38.140029,-75.733782,,41691,104000,Chickens-not laying hens-dry,,,Registered,,41705,2009-CCD-0334,
,129684,40135,,,"31798 W. Post Office Rd, Princess Anne MD 21853",Somerset,CAFO,BEN NGUYEN/TOPTON FARM,,38.212233,-75.650021,,40135,410000,Chickens-not laying hens-dry,,,Registered,,40694,2009-CCD-0059,
,68052,40624,,,"3646 Sheephouse Rd, Pocomoke City MD 21851",Worcester,CAFO,BENJAMIN AYDELOTTE/SHEEPHOUSE FARM,,38.043835,-75.496726,39967,39874,92000,Chickens-not laying hens-dry,,,Registered,,40983,2009-CCD-0198,
,66984,40260,,,"30560 Charles Barnes Rd, Westover MD 21871",Somerset,CAFO,BERT RAMSAY/SANDY BEACH FARM,,38.068072,-75.694967,,41172,107000,Chickens-not laying hens-dry,,,Registered,,41740,2009-CCD-0556,
,67996,41400,,,"4119 Bestpitch Ferry Rd, Cambridge MD 21613",Dorchester,CAFO,BERT WEBER/PRIDE ROCK FARM,,38.449005,-76.028301,39954,41435,41000,Chickens-not laying hens-dry,,,Registered,,41514,2009-CCD-0199,
,130686,40266,,,"25056 E. Cherry Ln, Greensboro MD 21639",Caroline,CAFO,"BETTER DAYS FARM OPERATIONS, LLC",,39.007774,-75.839374,40764,40284,300000,Chickens-not laying hens-dry,,,Registered,,40623,2009-CCD-0042,
,66704,41148,,,"3509 Follow Ditch Rd, Princess Anne MD 21853",Somerset,CAFO,BILL MILLER FARM,,38.14261, -75.617008,,39874,128000,Chickens-not laying hens-dry,,,Registered,,41614,2009-CCD-0511,
,67160,41100,,,"32832 Shavox Rd, Parsonsburg MD 21849",Wicomico,CAFO,BILLY JOE TOMLINSON FARM,,38.359682,-75.477728,40703,39874,59200,Chickens-not laying hens-dry,,,Registered,,41304,2009-CCD-0200,
,67147,41711,,,"36540 Sheppard Crossing Rd36555 Sheppard Crossing Rd, Willards MD 21874",Wicomico,CAFO,BLAIR C. RENNEBERGER/SHEPPARDS CROSSSING FARM,,38.441913,-75.34316,39869,39869,63600,Chickens-not laying hens-dry,,,Registered,,41794,2009-CCD-0119,
,67928,41557,,,"28964 Waller Rd, Delmar MD 21875",Wicomico,CAFO,BLAIR MITCHELL FARMS,,38.450991,-75.606759,41557,39885,88000,Chickens-not laying hens-dry,,,Registered,,41677,2009-CCD-0677,
,67184,40723,,,"10359 Georgetown Rd, Berlin MD 21811",Worcester,CAFO,"BOB'S FARM, INC.",,38.349769,-75.202158,39863,39863,112000,Chickens-not laying hens-dry,,,Registered,,41520,2009-CCD-0091,
,68669,40421,,,"4160 Laurel Grove Rd, Federalsburg MD 21632",Caroline,CAFO,BONNIE AND HENRY OSTERMANN,,38.721516,-75.809968,40051,40051,38200,Chickens-not laying hens-dry,,,Registered,,40623,2009-CCD-0045,
,136467,40913,,,"6704 Worcester Hwy, Newark MD 21841",Worcester,CAFO,BONNIE LEWIS/HAMMOND FARM,,38.234102,-75.315051,40919,40919,50000,Chickens-not laying hens-dry,,,Registered,,40977,2012-CCD-0575,
,31600,41920,,,"12107 Boyd Rd, Clear Spring MD 21722",Washington,CAFO,"BRAGUNIER FARM, LLC",,39.645964, -77.947908,40953,40273,1000,Cattle - includes heifers,,,Registered,,41967,2010-CCA-0084,
,67889,40666,,,"10985 Riverton Rd, Mardela Springs MD 21837",Wicomico,CAFO,BRENDA K. ALLEN/JUNE PERSONS FARM,,38.495662,-75.763964,40444,39870,40500,Chickens-not laying hens-dry,,,Registered,,40911,2009-CCD-0136,
,67183,40170,,,"630 Dun Swamp Rd, Pocomoke City MD 21851",Worcester,CAFO,"BRIAN DERRICKSON/ CHICKEN CITY, LITTLE BD FARM",,38.023316,-75.558835,40170,39867,235000,Chickens-not laying hens-dry,,,Registered,,40802,2009-CCD-0101,
,143865,41774,,,"3232 St. Lukes Rd, Salisbury MD 21804",Wicomico,CAFO,BRIAN JONES / B & C FARM,,38.28121,-75.572717,,41774,90000,Chickens-not laying hens-dry,,,Registered,,41838,2014-CCD-0694,
,66705,41515,,,"28179 Venton Rd, Princess Anne MD 21853",Somerset,MAFO,BRIAN LAIRD FARM,,38.194417,-75.774354,39884,39863,92000,Chickens-not laying hens-dry,,,Registered,,41794,2009-MCD-0479,
,143624,41754,,,"1143 Buck Harbor Rd, Pocomoke City MD 21851",Worcester,CAFO,BRIAN STERLING,,38.040105, -75.517955,,41754,,,,,Registered,,41810,2014-CCD-0692,
,67942,40625,,,"2311 Payne Rd3064 Brantley Rd, Pocomoke City MD 21851",Worcester,CAFO,BROOKS AYDELOTTE/PEACE & PLENTY FARM & ROOSTERS AND ROSES,,38.027761,-75.525137,39967,39874,210000,Chickens-not laying hens-dry,,,Registered,,41040,2009-CCD-0202,
,67233,40428,,,"2444 Lambertson Rd, Pocomoke City MD 21851",Worcester,CAFO,"BROTHERS CHICKEN FARM, INC.",,38.080757,-75.495847,39863,39863,260000,Chickens-not laying hens-dry,,,Registered,,40815,2009-CCD-0092,
,67063,40919,,,"7954 &7960 Brown Rd, Salisbury MD 21801",Wicomico,CAFO,BROWN LAND & CHICKEN CO. LIMITED PARTNERSHIP,,38.410784,-75.552956,39863,39863,144000,Chickens-not laying hens-dry,,,Registered,,40977,2009-CCD-0093,
,66939,40599,,,"23670 Willow Pond Rd, Denton MD 21629",Caroline,CAFO,BRUCE BARTZ/TUCKAHOE FARM,,38.890087,-75.883102,40599,39888,108000,Chickens-not laying hens-dry,,,Registered,,41439,2009-CCD-0344,
,132596,41015,,,"3809 Warwick Rd, Secretary MD 21664",Dorchester,CAFO,BRUCE J. TWILLEY/TWILLEY FARM,,38.61993,-75.951998,40529,40499,54000,Chickens-not laying hens-dry,,,Registered,,41131,2010-CCD-0437,
,66841,40228,,,"11429 Holly Rd, Ridgely MD 21660",Caroline,CAFO,BRUCE SAIA/LAZY ACRES BP POULTRY,,38.919964,-75.855709,39863,39863,150000,Chickens-not laying hens-dry,,,Registered,,40667,2009-CCD-0094,
,67174,40631,,,"7658 Davis Rd, Whaleyville MD 21872",Worcester,CAFO,"BRYAN J. TRUITT/ALL IN, NO LIMIT, HUDSON FARM, SAMATHA TRUITT",,38.411734,-75.312679,39874,39874,256000,Chickens-not laying hens-dry,,,Registered,,41439,2009-CCD-0203,
,67069,41019,,,"3926 Webb Rd, Pittsville MD 21850",Wicomico,CAFO,C & D CHICKEN CORPORATION,,38.298838,-75.374454,39874,39874,41600,Chickens-not laying hens-dry,,,Registered,,41205,2009-CCD-0204,
,68041,40365,,,"218 Legion Rd, Millington MD 21651",Kent,CAFO,C & M ELLINGSWORTH INC.,,39.246528,-75.868551,39869,39869,94000,Chickens-not laying hens-dry,,,Registered,,40983,2009-CCD-0120,
,66597,39870,,,"1709 Barclay Rd, Queen Anne MD 21607",Queen Anne's,CAFO,C. DALE STORY/VIILAGE VIEW FARM,,38.125403,-75.733026,41333,39870,65000,Chickens-not laying hens-dry,,,Registered,,41414,2009-CCD-0137,
,66707,41642,,,"9001 Ring Rd, Westover MD 21871",Somerset,CAFO,C.ANDERSON FARM,,38.12793,-75.735497,41907,41359,38000,Chickens-not laying hens-dry,,,Registered,,41967,2009-CCD-0540,
,66936,40588,,,"4734 Newton Rd, Preston MD 21655",Caroline,CAFO,CALVIN TAYLOR,,38.740067,-75.90912,39870,39870,55200,Chickens-not laying hens-dry,,,Registered,,41058,2009-CCD-0138,
,67796,40438,,,"26437 Cottman Rd, Eden MD 21822",Worcester,CAFO,"CARL A. WILSON, JR./WILSON POULTRY FARM",,38.281845,-75.693433,40367,39861,54400,Chickens-not laying hens-dry,,,Registered,,40802,2009-CCD-0086,
,66972,40753,,,"4425 Maple Dam Rd, Cambridge MD 21613",Dorchester,CAFO,CARROLL HANDLEY/JEWS FARM,,38.474651,-76.066307,40365,39846,106800,Chickens-not laying hens-dry,,,Registered,,40977,2009-CCD-0085,
,67108,40514,,,"26404 Jacksons Wharf Lane, Eden MD 21822",Worcester,CAFO,CASHER W HITCHENS,,38.337622,-75.697728,39868,39868,59900,Chickens-not laying hens-dry,,,Registered,,41514,2009-CCD-0114,
,67192,40368,,,"8744 Cedar Lane Rd, Berlin MD 21811",Worcester,CAFO,CEDAR LIVESSTOCK FARM LLC,,38.323428,-75.272576,39884,39884,145000,Chickens-not laying hens-dry,,,Registered,,40928,2009-CCD-0336,
,130034,40676,,,"6021 Tyson Lane, Snow Hill MD 21863",Worcester,CAFO,"CEDAR MOUNTAIN FARMS, LLC",,38.190812,-75.37812,40190,40189,213000,Chickens-not laying hens-dry,,,Registered,,41520,2010-CCD-0392,
,66628,40875,,,"11245 Perryhawkin Church Rd, Princess Anne MD 21853",Somerset,CAFO,CHANG SOO YOUN/ALEX FARM,,38.188211,-75.577,39874,39874,57200,Chickens-not laying hens-dry,,,Registered,,41439,2009-CCD-0206,
,23565,40665,,,"6319 Mountain Church Rd, Jefferson MD 21755",Frederick,CAFO,"CHAR MAR DAIRY FARM, INC.",,39.407333,-77.630963,41873,40203,1300,Dairy Cattle,,,Registered,,41971,2010-CDC-0398,
,66843,41015,,,"25829 Three Bridges Rd, Federalsburg MD 21632",Caroline,CAFO,CHARLES A. MATTHEWS FARM,,38.735099,-75.811275,39875,39875,55000,Chickens-not laying hens-dry,,,Registered,,41523,2009-CCD-0262,
,133220,41739,,,"8214 Burnt Mill Rd, Willards MD 21874",Wicomico,CAFO,CHARLES ALLAN WEST/FREEDOM FARM,,38.415654,-75.386021,40581,40581,75000,Chickens-not laying hens-dry,,,Registered,,41820,2011-CCD-0454,
,67795,40438,,,"3910 Poplar Neck Rd, Preston MD 21655",Caroline,CAFO,CHARLES BALL/BALL FARM,,38.717668,-75.949497,41288,40059,45000,Chickens-not laying hens-dry,,,Registered,,40623,2009-CCD-0043,
,133112,40252,,,"4326 Jacksonville Rd, Crisfield MD 21817",Somerset,CAFO,CHARLES LAIRD/LAIRD FARM,,38.002862,-75.843505,40252,39868,21400,Chickens-not laying hens-dry,,,Registered,,40564,2009-CCD-0037,
,68036,40252,,,"4326/4720 Jacksonville Rd, Crisfield MD 21817",Somerset,CAFO,CHARLES LAIRD/ROSS FARM,,38.017471,-75.831622,39868,39868,120000,Chickens-not laying hens-dry,,,Registered,,40564,2009-CCD-0038,
,67120,40436,,,"9350 Old Railroad Rd, Mardela Springs MD 21837",Wicomico,CAFO,CHARLES WRIGHT/MC FARMS & TIM WRIGHT FARM,,38.452068,-75.701348,,39877,80000,Chickens-not laying hens-dry,,,Registered,,40805,2009-CCD-0306,
,67193,39878,,,"1826 Pocomoke Beltway, Pocomoke City MD 21851",Worcester,CAFO,CHINH NGUYEN,,38.05344,-75.571731,39878,39878,114000,Chickens-not laying hens-dry,,,Registered,,40371,2009-CCD-0008,
,66828,40421,,,"6288 Statum Rd, Preston MD 21655",Caroline,CAFO,"CHITTLE SAYLOR, JR./IDLE HOUR FARM",,38.781576,-75.867264,41137,39874,65050,Chickens-not laying hens-dry,,,Registered,,40623,2009-CCD-0044,
,67250,41778,,,"8936 Cedar Lane Rd, Berlin MD 21811",Worcester,CAFO,CHRISTOPHER BRYAN WIDGEON/TRAILS END,,38.317821,-75.260162,,41778,63000,Chickens-not laying hens-dry,,,Registered,,41950,2014-CCD-0316,
,66803,40497,,,"25920 Shults Rd, Henderson MD 21640",Caroline,CAFO,CHRISTOPHER D HARRIS/HOME FARM,,39.05358,-75.84709,41613,39878,42800,Chickens-not laying hens-dry,,,Registered,,41697,2009-CCD-0318,
,136485,40422,,,"16343 Oakland Rd, Henderson MD 21640",Caroline,CAFO,CHRISTOPHER D. HARRIS/BALTIMORE CORNER FARM,,39.106828,-75.800205,41613,40917,50000,Chickens-not laying hens-dry,,,Registered,,41697,2012-CCD-0619,
,140060,41884,,,"6215 George Island Landing Rd, Stockton MD 21864",Worcester,CAFO,CHRISTOPHER L & ALLISON RIDDLEBERGER,,38.048987,-75.383739,41547,41547,82200,Chickens-not laying hens-dry,,,Registered,,41940,2013-CCD-0670,
,68891,40088,,,"4231 Paul Gumby Rd, Marion Station MD 21838",Somerset,CAFO,CHRISTOPHER LYONS/LYONS PRIDE FARMS,,37.99786,-75.770613,40088,40088,107600,Chickens-not laying hens-dry,,,Registered,,40905,2009-CCD-0379,
,68892,40088,,,"9458 Old Princess Anne Rd, Westover MD 21871",Somerset,CAFO,CHRISTOPHER LYONS/SOMERSET FARMS,,38.140207,-75.685937,40088,40088,162200,Chickens-not laying hens-dry,,,Registered,,40694,2009-CCD-0071,
,66530,41652,,,"415 Cosden Rd, Barclay MD 21607",Queen Anne's,CAFO,CHRISTOPHER WRIGHT FARM,,39.158566,-75.883823,,41596,82500,Chickens-not laying hens-dry,,,Registered,,41701,2009-CCD-0271,
,67247,40596,,,"14470 Backbone Rd, Eden MD 21822",Somerset,CAFO,CLARA LEE/SUN FARM,,38.277629,-75.61524,39890,39874,46000,Chickens-not laying hens-dry,,,Registered,,40181,2009-CCD-0207,
,67810,40708,,,"8749 Bethel Rd, Willards MD 21874",Wicomico,CAFO,CLAY R. LITTLETON/NO REGRETS AND STACY'S CHOICE FARMS,,38.430166,-75.355931,,39870,99500,Chickens-not laying hens-dry,,,Registered,,41563,2009-CCD-0141,
,138756,41320,,,"8575 Littleton Rd, Willards MD 21874",Wicomico,CAFO,CLAY R. LITTLETON/WIDE LOOP FARM,,38.424088,-75.336993,,41198,55000,Chickens-not laying hens-dry,,,Registered,,41514,2012-CCD-0662,
,66697,41071,,,"7186 Virgina Bowland Rd, Westover MD 21871",Somerset,CAFO,CLIFTON GORDON TAYLOR III/DEAD END FARM,,38.079435,-75.699313,,41071,150000,Chickens-not laying hens-dry,,,Registered,,41414,2012-CCD-0014,
,66995,40448,,,"29140 Hudson Corner Rd, Marion Station MD 21838",Somerset,CAFO,CLIFTON GORDON TAYLOR III/SUNSHINE FARM,,38.041418,-75.746369,,39864,70000,Chickens-not laying hens-dry,,,Registered,,41416,2009-CCD-0483,
,67177,40897,,,"10317 Bishopville Rd, Bishopville MD 21813",Worcester,CAFO,CLINTON W. DAVIDSON/BANKS FARM,,38.436574,-75.206337,39870,39870,112000,Chickens-not laying hens-dry,,,Registered,,41131,2009-CCD-0493,
,67908,40438,,,"22719 Thawley Rd, Denton MD 21629",Caroline,CAFO,"CLOPPER FARMS, INC. (FORMERLY MARC AND CINDY CLOPPER)",,38.880653,-75.915362,39927,39974,60000,Chickens-not laying hens-dry,,,Registered,,40771,2009-CCD-0372,
,67074,40470,,,"35710 Cobbs Hill Rd, Willards MD 21874",Wicomico,CAFO,COBBS HILL FARM,,38.423995,-75.371592,,41173,80000,Chickens-not laying hens-dry,,,Registered,,41381,2009-CCD-0487,
,67811,41614,,,"33270 Dublin Rd, Princess Anne MD 21853",Somerset,CAFO,"COTTMAN FARMS, INC.",,38.149501,-75.600218,,41166,105000,Chickens-not laying hens-dry,,,Registered,,41740,2009-CCD-0484,
,66823,41010,,,"25715 Three Bridges Rd, Federalsburg MD 21632",Caroline,CAFO,CURTIS WILLIN/HILL-N-DALE,,38.739885,-75.815243,40361,39884,84000,Chickens-not laying hens-dry,,,Registered,,41218,2009-CCD-0337,
,66975,40487,,,"4505 Maple Dam Rd, Cambridge MD 21613",Dorchester,CAFO,D & C ENTERPRISES INC.,,38.480306,-76.075038,40798,39869,35000,Chickens-not laying hens-dry,,,Registered,,40766,2009-CCD-0121,
,66804,40546,,,"22690 Havercamp Rd, Preston MD 21655",Caroline,CAFO,DALE HARRISON FARM,,38.708775,-75.919978,39891,39874,34800,Chickens-not laying hens-dry,,,Registered,,40905,2009-CCD-0208,
,132671,,,,"4756 Smithville Road, Federalsburg MD 21632",Caroline,MAFO,"DALE LESLIE WRIGHT, JR.",,38.737779,-75.763273,41736,40511,138000,Chickens-not laying hens-dry,,,Registered,,41900,2010-MCD-0573,
,66596,41169,,,"1816 Price Station Rd, Queen Anne MD 21623",Queen Anne's,CAFO,DANIEL C. HELLER,,39.083646,-75.93681,,41169,78000,Chickens-not laying hens-dry,,,Registered,,41362,2012-CCD-0110,
,66799,40448,,,"110 Ferrell Farm Lane, Henderson MD 21640",Caroline,CAFO,DANIEL FERRELL FARM,,39.08812,-75.851306,39898,39863,96000,Chickens-not laying hens-dry,,,Registered,,40802,2009-CCD-0095,
,67144,40183,,,"8475 New Hope Rd, Willards MD 21874",Wicomico,CAFO,DANIEL RAYNE/RAYNE ACRES,,38.420506,-75.357704,39882,39882,110000,Chickens-not laying hens-dry,,,Registered,,40672,2009-CCD-0017,
,66951,40532,,,"12591 Kibler Rd, Greensboro MD 21639",Caroline,CAFO,DANNY AND BOBBIE REED/WINTERHAWK FARM,,38.952265,-75.765761,39871,40332,82000,Chickens-not laying hens-dry,,,Registered,,41017,2010-CCD-0175,
,132828,40970,,,"8129 Hurleys Neck Rd, Mardela Springs MD 21837",Wicomico,CAFO,DAVID & REBECCA CALLOWAY/BAY BREEZE FARM,,38.418286,-75.804388,,40532,84000,Chickens-not laying hens-dry,,,Registered,,41523,2010-CCD-0446,
,130599,40970,,,"8640 Athol Rd, Mardela Springs MD 21837",Wicomico,CAFO,DAVID & REBECCA CALLOWAY/DAVID & BECKY'S FARM,,38.434896,-75.789867,,40269,140000,Chickens-not laying hens-dry,,,Registered,,41523,2010-CCD-0402,
,107521,41484,,,"7000 Blk Hynson Rd, Hurlock MD 21643",Dorchester,CAFO,DAVID BRAMBLE/BRAMBLE FARM,,38.686513,-75.844501,,41464,89600,Chickens-not laying hens-dry,,,Registered,,41549,2013-CCD-0659,
,67878,40115,,,"1218 Hope Rd, Centreville MD 21617",Queen Anne's,CAFO,DAVID CONLEY/HOPE TWO FARM,,39.041629,-75.98499,40904,39882,52000,Chickens-not laying hens-dry,,,Registered,,40983,2009-CCD-0325,
,67219,41627,,,"8339 Little Brown Rd, Salisbury MD 21804",Worcester,CAFO,DAVID E. NUSE SR. FARM,,38.271755,-75.592282,40357,39874,80000,Chickens-not laying hens-dry,,,Registered,,41764,2009-CCD-0209,
,67158,40578,,,"26657 Siloam Rd, Salisbury MD 21801",Wicomico,CAFO,DAVID G. POLLOCK/TEASPOON FARM,,38.325857,-75.693916,39876,39876,80000,Chickens-not laying hens-dry,,,Registered,,40983,2009-CCD-0284,
,66670,39870,,,"7569 Hayward Rd, Pocomoke City MD 21851",Worcester,CAFO,DAVID HOFFMAN,,38.088144,-75.585386,39870,39870,155000,Chickens-not laying hens-dry,,,Registered,,40371,2009-CCD-0005,
,67129,41109,,,"7018 Whiteley Rd, Federalsburg MD 21632",Caroline,CAFO,DAVID HOWARD,,38.681469, -75.808777,39870,39870,73500,Chickens-not laying hens-dry,,,Registered,,41677,2009-CCD-0494,
,66870,40702,,,"24715 Richardson Rd, Federalsburg MD 21632",Caroline,CAFO,DAVID HUBBLE/RAINBOW'S END FARM,,38.750508,-75.848735,41505,39884,90000,Chickens-not laying hens-dry,,,Registered,,41582,2009-CCD-0338,
